x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
19.44,y,1737.89,f,409.71741638955234,0.24,1.14,79,27.33,0.0,113.9,266998.8380721275
20.95,y,1801.82,false,417.86532514197035,1.85,4.12,57,17.73,8.41,114.93,145157.47802978067
18.95,y,2204.66,true,415.3842076873356,0.19,0.26,-9,25.07,9.09,104.45,103440.40829834124
15.21,r,2008.18,false,402.0863860541863,0.48,0.68,90,20.22,1.41,106.73,217504.5261141146
18.95,y,1736.59,false,402.9820339006452,1.59,3.37,-21,17.39,-7.56,108.09,199010.95115719366
20.53,r,1570.86,true,415.265968074969,0.46,0.86,-23,18.55,-9.58,109.71,92125.076775527
20.57,r,1507.84,true,416.15281285918826,0.03,0.69,2,16.43,-2.79,114.46,82320.35175502191
18.14,x,2024.23,true,400.1377982834795,1.81,3.35,-35,18.64,6.56,105.3,208501.9934328693
21.03,r,2326.8,true,415.38356129739896,0.61,1.19,-3,12.23,9.89,118.74,159292.50557672238
18.53,y,2038.23,true,406.6200413088579,1.15,2.47,19,23.7,4.12,112.45,209846.98244104863
18.31,x,1629.75,true,413.7702619601066,0.06,0.2,9,23.21,-5.44,107.73,56152.53263208735
18.28,y,2035.56,false,412.579176418207,0.6,1.67,-34,13.72,-9.99,104.85,89857.43636269677
20.94,y,2239.54,false,401.92003010438845,1.74,3.36,-12,23.78,-5.36,107.71,273108.12318256294
21.94,r,1821.12,false,407.26843209693266,0.01,0.01,-42,24.55,4.2,102.49,273399.81300968124
19.56,b,2075.66,false,401.64879267508815,0.69,1.78,65,20.5,9.9,119.18,273303.12400552264
19.27,!,1434.58,false,408.1693238267574,0.06,0.2,85,18.27,6.5,113.78,253013.3908374732
17.12,b,2273.41,false,416.67017638403325,0.56,1.55,31,18.58,-2.87,112.99,76905.70915103453
18.46,r,2462.84,true,411.5744586385001,3.84,7.52,89,17.32,-9.61,110.74,187073.28913192026
20.12,b,2095.89,true,402.9909008650513,1.82,3.81,-73,14.88,-7.5,109.15,297895.0498394216
19.06,r,2041.97,false,400.38228247711703,0.1,1.37,-33,19.94,1.49,114.57,227058.85734113734
19.08,y,2153.42,t,404.00292213918584,0.91,1.88,31,15.37,9.12,109.94,234147.93876544147
22.73,b,2198.81,false,401.25889008472365,0.42,1.58,-30,25.02,8.36,109.72,318739.6417506441
20.15,b,1641.7,t,401.7343948372745,1.58,3.04,19,25.89,-0.08,107.0,213907.91028503637
16.35,b,1943.43,true,404.52592396428497,0.86,1.77,76,24.24,-8.46,110.09,217431.61012490667
24.12,b,2222.24,true,404.4653088661881,2.35,5.41,-91,19.67,-9.05,107.87,426718.4995946169
24.4,y,1713.77,true,405.92426293914866,0.45,0.78,-21,24.37,-1.32,116.72,292170.2582908884
18.39,r,2047.23,false,419.1127576580603,1.77,3.34,82,18.33,7.62,109.62,148066.35515703715
18.32,y,1902.13,false,412.41161444046986,0.18,0.55,-20,20.05,9.56,104.17,75453.71108080268
17.76,r,1920.58,false,406.21425737588527,1.19,2.2,81,25.21,2.7,111.28,249983.49090059465
